Player 1,Player 2,Result,Player 1 First,Timestamp
Negamax5B P1,Negamax5 P10 T0.01,Player 2 Win,True,2025-03-08 18:12:08.043965
Negamax5 P10 T0.01,Negamax5B P1,Player 1 Win,True,2025-03-08 18:12:09.010810
Negamax4 P4,Negamax5 P12 T0.025,Player 1 Win,True,2025-03-08 18:12:27.564940
Negamax5 P12 T0.025,Negamax4 P4,Player 1 Win,True,2025-03-08 18:12:39.865858
Negamax5B P4 T0.01,Negamax5 P1,Player 1 Win,True,2025-03-08 18:12:39.933875
Negamax5 P1,Negamax5B P4 T0.01,Player 2 Win,True,2025-03-08 18:12:40.101198
Negamax4 P6 T0.01,Negamax4 P8 T0.25,Player 1 Win,True,2025-03-08 18:12:46.427604
Negamax4 P8 T0.25,Negamax4 P6 T0.01,Player 1 Win,True,2025-03-08 18:12:53.251721
Negamax4 P10 T0.01,Negamax5 P8 T0.25,Player 1 Win,True,2025-03-08 18:13:04.691375
Negamax5 P8 T0.25,Negamax4 P10 T0.01,Player 1 Win,True,2025-03-08 18:13:13.320561
Negamax3 P2,Negamax4 P6 T0.1,Player 2 Win,True,2025-03-08 18:13:15.691539
Negamax4 P6 T0.1,Negamax3 P2,Player 1 Win,True,2025-03-08 18:13:16.165390
Negamax P2,Negamax5 P6 T0.25,Player 2 Win,True,2025-03-08 18:13:16.942628
Negamax5 P6 T0.25,Negamax P2,Player 1 Win,True,2025-03-08 18:13:21.385182
Negamax5B P4 T0.25,Negamax5B P2,Player 1 Win,True,2025-03-08 18:13:23.350351
Negamax5B P2,Negamax5B P4 T0.25,Draw,True,2025-03-08 18:13:27.149245
Negamax5B P6 T0.01,Negamax5B P12 T0.1,Draw,True,2025-03-08 18:13:36.237698
Negamax5B P12 T0.1,Negamax5B P6 T0.01,Player 1 Win,True,2025-03-08 18:13:46.625477
Negamax4 P10 T0.1,Negamax5 P4,Player 2 Win,True,2025-03-08 18:13:56.737316
Negamax5 P4,Negamax4 P10 T0.1,Player 2 Win,True,2025-03-08 18:14:05.930797
Negamax5 P10 T0.025,Negamax5B P10 T0.01,Draw,True,2025-03-08 18:14:10.091361
Negamax5B P10 T0.01,Negamax5 P10 T0.025,Player 2 Win,True,2025-03-08 18:14:13.502639
Negamax5 P8 T0.01,Negamax P1,Player 1 Win,True,2025-03-08 18:14:14.139298
